,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
なるべく,1.0,0.0,0.0,0.0,0.0,25.0,16.0
ふっ,1.0,0.0,0.0,0.0,0.0,0.0,3.0
どしん,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ふらふらっ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
かっかっかっ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
なぜ,1.0,0.0,1.0,6.0,0.0,0.0,47.0
どんな,1.0,0.0,2.0,6.0,0.0,27.0,20.0
ぼうっと,1.0,0.0,0.0,3.0,0.0,0.0,1.0
どんどん,2.0,0.0,0.0,11.0,0.0,1.0,1.0
ばたっ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
元来,1.0,0.0,0.0,0.0,0.0,9.0,5.0
するする,1.0,1.0,0.0,0.0,0.0,0.0,0.0
しきり,2.0,0.0,0.0,3.0,0.0,8.0,5.0
がたがた,1.0,0.0,0.0,1.0,0.0,1.0,1.0
がばっ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
じっと,2.0,1.0,0.0,5.0,1.0,4.0,1.0
もちろん,1.0,0.0,1.0,2.0,0.0,0.0,2.0
ばっ,1.0,0.0,0.0,1.0,0.0,0.0,0.0
がらん,1.0,0.0,0.0,7.0,0.0,1.0,1.0
一杯,1.0,0.0,0.0,0.0,0.0,5.0,2.0
こつこつ,2.0,0.0,0.0,1.0,0.0,0.0,0.0
ぼんやり,2.0,2.0,0.0,28.0,2.0,11.0,5.0
きちんと,1.0,0.0,0.0,4.0,0.0,0.0,0.0
ちらちら,1.0,0.0,0.0,8.0,0.0,1.0,1.0
ぽんぽん,1.0,0.0,0.0,0.0,0.0,1.0,0.0
はっと,1.0,0.0,0.0,0.0,0.0,7.0,5.0
ぼうと,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ぱちん,1.0,0.0,0.0,0.0,0.0,0.0,0.0
夜通し,1.0,0.0,0.0,0.0,0.0,0.0,0.0
うとうと,1.0,0.0,0.0,0.0,0.0,2.0,0.0
ちいさな,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ちょろちょろ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
きょろきょろ,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ちゃんと,1.0,0.0,0.0,2.0,0.0,8.0,13.0
むっと,1.0,0.0,0.0,0.0,0.0,0.0,0.0
あんな,2.0,0.0,0.0,4.0,0.0,7.0,5.0
もっとも,1.0,0.0,0.0,0.0,1.0,0.0,22.0
